
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,423,79261,45085,32468,5666,11957,283,22219,129365,7210,58288
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src,423,79261,45085,32468,5666,11957,283,22219,129365,7210,58288
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org,423,79261,45085,32468,5666,11957,283,22219,129365,7210,58288
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache,423,79261,45085,32468,5666,11957,283,22219,129365,7210,58288
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller,423,79261,45085,32468,5666,11957,283,22219,129365,7210,58288
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\business,42,10286,6446,4674,815,1662,77,2178,13027,769,5717
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\business\hibernate,13,5824,3979,2858,557,942,54,903,5349,237,1763
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\business\referrers,5,529,202,155,20,109,0,218,1211,110,735
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\business\runnable,3,250,75,57,3,54,0,121,640,66,441
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\business\search,12,1025,547,429,39,157,9,321,2088,197,1545
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\business\search\operations,9,921,503,390,36,148,8,270,1722,161,1263
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\business\utils,3,1100,707,485,50,143,1,250,1526,51,405
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\config,9,1312,602,456,106,249,0,461,3131,161,1140
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\config\runtime,5,492,227,166,31,108,0,157,921,110,735
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\model,19,2401,581,406,5,426,6,1394,8041,312,2698
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\pojos,39,10785,5608,3707,741,1371,43,3806,16387,668,5185
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui,225,40452,23623,16992,2871,6161,112,10668,63241,3790,29899
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\admin,9,1674,1152,788,111,186,1,336,1861,142,1028
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\admin\struts,9,1674,1152,788,111,186,1,336,1861,142,1028
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\admin\struts\actions,6,1490,1064,738,106,163,1,263,1474,108,758
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\admin\struts\formbeans,2,184,88,50,5,23,0,73,387,34,270
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\authoring,63,11014,7174,4880,733,1248,29,2592,14594,1105,8438
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\authoring\ajax,1,86,45,41,3,7,0,34,230,17,135
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\authoring\struts,57,10320,6815,4613,698,1168,29,2337,13253,1000,7610
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\authoring\struts\actions,29,7453,5311,3643,538,781,29,1361,7922,520,3916
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\authoring\struts\formbeans,27,2867,1504,970,160,387,0,976,5331,480,3694
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\authoring\tags,5,608,314,226,32,73,0,221,1111,88,693
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core,66,9988,5320,3763,590,1361,36,3307,18261,1056,8106
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core\filters,8,845,403,325,25,169,0,273,1847,146,1104
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core\pings,3,406,192,154,32,51,0,163,1103,51,405
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core\security,5,357,172,144,28,67,0,118,788,85,675
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core\struts,9,1173,761,523,79,180,1,232,1681,136,1080
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core\struts\actions,8,1173,761,523,79,180,1,232,1681,136,1080
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core\tags,21,3286,1755,1254,207,459,30,1072,5898,325,2486
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core\tags\calendar,4,804,499,380,43,116,20,189,1266,68,540
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core\tags\menu,9,1088,584,467,86,171,8,333,2219,153,1215
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core\tasks,5,577,326,257,12,94,0,157,965,91,689
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\core\util,8,1011,550,361,59,100,2,361,1836,80,573
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\rendering,90,17776,9977,7561,1437,3366,46,4433,28525,1487,12327
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\rendering\filters,1,149,85,68,7,28,0,36,252,17,135
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\rendering\model,13,2799,1622,1157,260,508,11,669,4305,221,1755
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\rendering\pagers,14,2116,1273,941,219,432,0,411,2603,238,1890
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\rendering\plugins,9,1521,797,575,107,235,4,489,3412,153,1215
Z:\servicedelivery\baseline\Java\Roller 3.0\build\src\org\apache\roller\ui\rendering\servlets,10,2823,1625,1351,151,535,4,663,4172,170,1350
